NEW SEED: 
location487977277 -> 444711524
location487977277 -> 487977277
temp1156894766 -> 1156894766
humid1156894766 -> 1268048524
location1268048524 -> 3888947600
location1268048524 -> 1268048524
humid1156894766 -> 1156894766
location1156894766 -> 2413398646
location1156894766 -> 1156894766
light2831821778 -> 2831821778
temp2831821778 -> 1855143588
humid1855143588 -> 650901439
location650901439 -> 769360209
location650901439 -> 650901439
humid1855143588 -> 1855143588
location1855143588 -> 1311570354
location1855143588 -> 1855143588
temp2831821778 -> 2831821778
humid2831821778 -> 2352529553
location2352529553 -> 1808956319
location2352529553 -> 2352529553
humid2831821778 -> 2831821778
location2831821778 -> 2199239522
location2831821778 -> 2831821778
wat3378899588 -> 3378899588
light3378899588 -> 2508309349
temp2508309349 -> 2142133151
humid2142133151 -> 2142133151
location2142133151 -> 1598559917
location2142133151 -> 2142133151
temp2508309349 -> 2508309349
humid2508309349 -> 2589302553
location2589302553 -> 1956720297
location2589302553 -> 2589302553
humid2508309349 -> 2508309349
location2508309349 -> 3695554550
location2508309349 -> 2508309349
light3378899588 -> 3378899588
temp3378899588 -> 3378899588
humid3378899588 -> 3772533562
location3772533562 -> 3761648020
location3772533562 -> 3772533562
humid3378899588 -> 3378899588
location3378899588 -> 2528857587
location3378899588 -> 3378899588
soil768975 -> 768975
fert768975 -> 409213326
wat409213326 -> 1463588800
light1463588800 -> 245602140
temp245602140 -> 1495391733
humid1495391733 -> 1606545491
location1606545491 -> 3905328693
location1606545491 -> 1606545491
humid1495391733 -> 1495391733
location1495391733 -> 2752411803
location1495391733 -> 1495391733
temp245602140 -> 245602140
humid245602140 -> 1852489628
location1852489628 -> 1308916394
location1852489628 -> 1852489628
humid245602140 -> 245602140
location245602140 -> 664473162
light1463588800 -> 1463588800
temp1463588800 -> 2774357666
humid2774357666 -> 3289784572
location3289784572 -> 2362304292
location3289784572 -> 3289784572
humid2774357666 -> 2774357666
location2774357666 -> 2141775410
location2774357666 -> 2774357666
temp1463588800 -> 1463588800
humid1463588800 -> 1574742558
location1574742558 -> 2831762628
location1574742558 -> 1574742558
humid1463588800 -> 1463588800
location1463588800 -> 2720608870
location1463588800 -> 1463588800
wat409213326 -> 409213326
light409213326 -> 1081330653
temp1081330653 -> 3322643105
humid3322643105 -> 4284309121
location4284309121 -> 3108299574
location4284309121 -> 4284309121
humid3322643105 -> 3322643105
location3322643105 -> 2395162825
location3322643105 -> 3322643105
temp1081330653 -> 1081330653
humid1081330653 -> 1192484411
location1192484411 -> 2448988291
location1192484411 -> 1192484411
humid1081330653 -> 1081330653
location1081330653 -> 1086434362
location1081330653 -> 1081330653
light409213326 -> 409213326
temp409213326 -> 78961634
humid78961634 -> 895458181
location895458181 -> 900561890
location895458181 -> 895458181
humid78961634 -> 78961634
location78961634 -> 85256803
location78961634 -> 78961634
temp409213326 -> 409213326
humid409213326 -> 188232433
location188232433 -> 607103455
humid409213326 -> 409213326
location409213326 -> 365947573
location409213326 -> 409213326
fert768975 -> 768975
wat768975 -> 1292339148
light1292339148 -> 74352488
temp74352488 -> 1324142081
humid1324142081 -> 1435295839
location1435295839 -> 2692315909
location1435295839 -> 1435295839
humid1324142081 -> 1324142081
location1324142081 -> 3174516311
location1324142081 -> 1324142081
temp74352488 -> 74352488
humid74352488 -> 890849035
location890849035 -> 895952744
location890849035 -> 890849035
humid74352488 -> 74352488
location74352488 -> 80647657
location74352488 -> 74352488
light1292339148 -> 1292339148
temp1292339148 -> 2603108014
humid2603108014 -> 2176697662
location2176697662 -> 1633124428
location2176697662 -> 2176697662
humid2603108014 -> 2603108014
location2603108014 -> 1970525758
location2603108014 -> 2603108014
temp1292339148 -> 1292339148
humid1292339148 -> 1403492906
location1403492906 -> 2660512976
location1403492906 -> 1403492906
humid1292339148 -> 1292339148
location1292339148 -> 3142713378
location1292339148 -> 1292339148
wat768975 -> 768975
light768975 -> 268202808
temp268202808 -> 1517992401
humid1517992401 -> 1629146159
location1629146159 -> 3927929361
location1629146159 -> 1629146159
humid1517992401 -> 1517992401
location1517992401 -> 2775012471
location1517992401 -> 1517992401
temp268202808 -> 268202808
humid268202808 -> 1875090296
location1875090296 -> 1331517062
location1875090296 -> 1875090296
humid268202808 -> 268202808
location268202808 -> 687073830
light768975 -> 768975
temp768975 -> 59096971
humid59096971 -> 875593518
location875593518 -> 880697227
location875593518 -> 875593518
humid59096971 -> 59096971
location59096971 -> 65392140
location59096971 -> 59096971
temp768975 -> 768975
humid768975 -> 817265522
location817265522 -> 822369231
location817265522 -> 817265522
NEW SEED: 
36881621 SEED IS
soil36881621 -> 1565216755
fert1565216755 -> 1510548601
wat1510548601 -> 1510548601
light1510548601 -> 2854073723
temp2854073723 -> 1877395533
humid1877395533 -> 673153384
location673153384 -> 791612154
location673153384 -> 673153384
humid1877395533 -> 1877395533
location1877395533 -> 1333822299
location1877395533 -> 1877395533
temp2854073723 -> 2854073723
humid2854073723 -> 2374781498
location2374781498 -> 3837213764
location2374781498 -> 2374781498
humid2854073723 -> 2854073723
location2854073723 -> 2221491467
location2854073723 -> 2854073723
light1510548601 -> 1510548601
temp1510548601 -> 2821317467
humid2821317467 -> 2342025242
location2342025242 -> 1798452008
location2342025242 -> 2342025242
humid2821317467 -> 2821317467
location2821317467 -> 2188735211
location2821317467 -> 2821317467
temp1510548601 -> 1510548601
humid1510548601 -> 1621702359
location1621702359 -> 3920485561
location1621702359 -> 1621702359
humid1510548601 -> 1510548601
location1510548601 -> 2767568671
location1510548601 -> 1510548601
fert1565216755 -> 1565216755
wat1565216755 -> 1565216755
light1565216755 -> 2152170958
temp2152170958 -> 800091941
humid800091941 -> 455297429
location455297429 -> 412031676
location455297429 -> 455297429
humid800091941 -> 800091941
location800091941 -> 805195650
location800091941 -> 800091941
temp2152170958 -> 2152170958
humid2152170958 -> 2975603488
location2975603488 -> 3443902377
location2975603488 -> 2975603488
humid2152170958 -> 2152170958
location2152170958 -> 1608597724
location2152170958 -> 2152170958
light1565216755 -> 1565216755
temp1565216755 -> 2875985621
humid2875985621 -> 2396693396
location2396693396 -> 3859125662
location2396693396 -> 2396693396
humid2875985621 -> 2875985621
location2875985621 -> 2243403365
location2875985621 -> 2875985621
temp1565216755 -> 1565216755
humid1565216755 -> 1676370513
location1676370513 -> 3975153715
location1676370513 -> 1676370513
humid1565216755 -> 1565216755
location1565216755 -> 2822236825
location1565216755 -> 1565216755
soil36881621 -> 36881621
fert36881621 -> 445325972
wat445325972 -> 1322508411
light1322508411 -> 104521751
temp104521751 -> 1354311344
humid1354311344 -> 1465465102
location1465465102 -> 2722485172
location1465465102 -> 1465465102
humid1354311344 -> 1354311344
location1354311344 -> 2611331414
location1354311344 -> 1354311344
temp104521751 -> 104521751
humid104521751 -> 921018298
location921018298 -> 926122007
location921018298 -> 921018298
humid104521751 -> 104521751
location104521751 -> 110816920
location104521751 -> 104521751
light1322508411 -> 1322508411
temp1322508411 -> 2633277277
humid2633277277 -> 2206866925
location2206866925 -> 1663293691
location2206866925 -> 2206866925
humid2633277277 -> 2633277277
location2633277277 -> 2000695021
location2633277277 -> 2633277277
temp1322508411 -> 1322508411
humid1322508411 -> 1433662169
location1433662169 -> 2690682239
location1433662169 -> 1433662169
humid1322508411 -> 1322508411
location1322508411 -> 3172882641
location1322508411 -> 1322508411
fert36881621 -> 36881621
wat36881621 -> 319645873
light319645873 -> 3167853556
temp3167853556 -> 2353656328
humid2353656328 -> 3177088858
location3177088858 -> 3349630943
location3177088858 -> 3177088858
humid2353656328 -> 2353656328
location2353656328 -> 1810083094
location2353656328 -> 2353656328
temp3167853556 -> 3167853556
humid3167853556 -> 4129519572
location4129519572 -> 2953510025
location4129519572 -> 4129519572
humid3167853556 -> 3167853556
location3167853556 -> 3340395641
location3167853556 -> 3167853556
light319645873 -> 319645873
temp319645873 -> 1569435466
humid1569435466 -> 1680589224
location1680589224 -> 3979372426
location1680589224 -> 1680589224
humid1569435466 -> 1569435466
location1569435466 -> 2826455536
location1569435466 -> 1569435466
temp319645873 -> 319645873
humid319645873 -> 1047398515
location1047398515 -> 1052502224
location1047398515 -> 1047398515
humid319645873 -> 319645873
location319645873 -> 276380120
location319645873 -> 319645873
wat36881621 -> 36881621
light36881621 -> 304315454
temp304315454 -> 1554105047
humid1554105047 -> 1665258805
location1665258805 -> 3964042007
location1665258805 -> 1665258805
humid1554105047 -> 1554105047
location1554105047 -> 2811125117
location1554105047 -> 1554105047
temp304315454 -> 304315454
humid304315454 -> 1911202942
location1911202942 -> 1367629708
location1911202942 -> 1911202942
humid304315454 -> 304315454
location304315454 -> 261049701
location304315454 -> 304315454
light36881621 -> 36881621
temp36881621 -> 1286671214
humid1286671214 -> 1397824972
location1397824972 -> 2654845042
location1397824972 -> 1397824972
humid1286671214 -> 1286671214
location1286671214 -> 3137045444
location1286671214 -> 1286671214
temp36881621 -> 36881621
humid36881621 -> 853378168
location853378168 -> 858481877
location853378168 -> 853378168
humid36881621 -> 36881621
location36881621 -> 43176790
location36881621 -> 36881621
NEW SEED: 
56868281 SEED IS
soil56868281 -> 1585203415
fert1585203415 -> 1530535261
wat1530535261 -> 1530535261
light1530535261 -> 2874060383
temp2874060383 -> 1897382193
humid1897382193 -> 693140044
location693140044 -> 1127558701
location693140044 -> 693140044
humid1897382193 -> 1897382193
location1897382193 -> 1353808959
location1897382193 -> 1897382193
temp2874060383 -> 2874060383
humid2874060383 -> 2394768158
location2394768158 -> 3857200424
location2394768158 -> 2394768158
humid2874060383 -> 2874060383
location2874060383 -> 2241478127
location2874060383 -> 2874060383
light1530535261 -> 1530535261
temp1530535261 -> 2841304127
humid2841304127 -> 2362011902
location2362011902 -> 1818438668
location2362011902 -> 2362011902
humid2841304127 -> 2841304127
location2841304127 -> 2208721871
location2841304127 -> 2841304127
temp1530535261 -> 1530535261
humid1530535261 -> 1641689019
location1641689019 -> 3940472221
location1641689019 -> 1641689019
humid1530535261 -> 1530535261
location1530535261 -> 2787555331
location1530535261 -> 1530535261
fert1585203415 -> 1585203415
wat1585203415 -> 1585203415
light1585203415 -> 2172157618
temp2172157618 -> 820078601
humid820078601 -> 475284089
location475284089 -> 432018336
location475284089 -> 475284089
humid820078601 -> 820078601
location820078601 -> 825182310
location820078601 -> 820078601
temp2172157618 -> 2172157618
humid2172157618 -> 2995590148
location2995590148 -> 4168247390
location2995590148 -> 2995590148
humid2172157618 -> 2172157618
location2172157618 -> 1628584384
location2172157618 -> 2172157618
light1585203415 -> 1585203415
temp1585203415 -> 2895972281
humid2895972281 -> 2416680056
location2416680056 -> 3879112322
location2416680056 -> 2416680056
humid2895972281 -> 2895972281
location2895972281 -> 4265089910
location2895972281 -> 2895972281
temp1585203415 -> 1585203415
humid1585203415 -> 1696357173
location1696357173 -> 1152783939
location1696357173 -> 1696357173
humid1585203415 -> 1585203415
location1585203415 -> 2842223485
location1585203415 -> 1585203415
soil56868281 -> 56868281
fert56868281 -> 465312632
wat465312632 -> 1342495071
light1342495071 -> 124508411
temp124508411 -> 1374298004
humid1374298004 -> 1485451762
location1485451762 -> 2742471832
location1485451762 -> 1485451762
humid1374298004 -> 1374298004
location1374298004 -> 2631318074
location1374298004 -> 1374298004
temp124508411 -> 124508411
humid124508411 -> 941004958
location941004958 -> 946108667
location941004958 -> 941004958
humid124508411 -> 124508411
location124508411 -> 543379433
light1342495071 -> 1342495071
temp1342495071 -> 2653263937
humid2653263937 -> 2226853585
location2226853585 -> 1683280351
location2226853585 -> 2226853585
humid2653263937 -> 2653263937
location2653263937 -> 2020681681
location2653263937 -> 2653263937
temp1342495071 -> 1342495071
humid1342495071 -> 1453648829
location1453648829 -> 2710668899
location1453648829 -> 1453648829
humid1342495071 -> 1342495071
location1342495071 -> 2599515141
location1342495071 -> 1342495071
fert56868281 -> 56868281
wat56868281 -> 339632533
light339632533 -> 1011749860
temp1011749860 -> 3253062312
humid3253062312 -> 4214728328
location4214728328 -> 3038718781
location4214728328 -> 4214728328
humid3253062312 -> 3253062312
location3253062312 -> 2325582032
location3253062312 -> 3253062312
temp1011749860 -> 1011749860
humid1011749860 -> 1122903618
location1122903618 -> 815931
location1122903618 -> 1122903618
humid1011749860 -> 1011749860
location1011749860 -> 1016853569
location1011749860 -> 1011749860
light339632533 -> 339632533
temp339632533 -> 1589422126
humid1589422126 -> 1700575884
location1700575884 -> 1157002650
location1700575884 -> 1700575884
humid1589422126 -> 1589422126
location1589422126 -> 2846442196
location1589422126 -> 1589422126
temp339632533 -> 339632533
humid339632533 -> 1067385175
location1067385175 -> 1072488884
location1067385175 -> 1067385175
humid339632533 -> 339632533
location339632533 -> 296366780
location339632533 -> 339632533
wat56868281 -> 56868281
light56868281 -> 2421546535
temp2421546535 -> 2055370337
humid2055370337 -> 2055370337
location2055370337 -> 1511797103
location2055370337 -> 2055370337
temp2421546535 -> 2421546535
humid2421546535 -> 2670083181
location2670083181 -> 2037500925
location2670083181 -> 2670083181
humid2421546535 -> 2421546535
location2421546535 -> 3883978801
location2421546535 -> 2421546535
light56868281 -> 56868281
temp56868281 -> 1306657874
humid1306657874 -> 1417811632
location1417811632 -> 2674831702
location1417811632 -> 1417811632
humid1306657874 -> 1306657874
location1306657874 -> 3157032104
location1306657874 -> 1306657874
temp56868281 -> 56868281
humid56868281 -> 873364828
location873364828 -> 878468537
location873364828 -> 873364828
humid56868281 -> 56868281
location56868281 -> 63163450
location56868281 -> 56868281
NEW SEED: 
55386784 SEED IS
soil55386784 -> 1583721918
fert1583721918 -> 1529053764
wat1529053764 -> 1529053764
light1529053764 -> 2872578886
temp2872578886 -> 1895900696
humid1895900696 -> 691658547
location691658547 -> 1126077204
location691658547 -> 691658547
humid1895900696 -> 1895900696
location1895900696 -> 1352327462
location1895900696 -> 1895900696
temp2872578886 -> 2872578886
humid2872578886 -> 2393286661
location2393286661 -> 3855718927
location2393286661 -> 2393286661
humid2872578886 -> 2872578886
location2872578886 -> 2239996630
location2872578886 -> 2872578886
light1529053764 -> 1529053764
temp1529053764 -> 2839822630
humid2839822630 -> 2360530405
location2360530405 -> 1816957171
location2360530405 -> 2360530405
humid2839822630 -> 2839822630
location2839822630 -> 2207240374
location2839822630 -> 2839822630
temp1529053764 -> 1529053764
humid1529053764 -> 1640207522
location1640207522 -> 3938990724
location1640207522 -> 1640207522
humid1529053764 -> 1529053764
location1529053764 -> 2786073834
location1529053764 -> 1529053764
fert1583721918 -> 1583721918
wat1583721918 -> 1583721918
light1583721918 -> 2170676121
temp2170676121 -> 818597104
humid818597104 -> 473802592
location473802592 -> 430536839
location473802592 -> 473802592
humid818597104 -> 818597104
location818597104 -> 823700813
location818597104 -> 818597104
temp2170676121 -> 2170676121
humid2170676121 -> 2994108651
location2994108651 -> 4166765893
location2994108651 -> 2994108651
humid2170676121 -> 2170676121
location2170676121 -> 1627102887
location2170676121 -> 2170676121
light1583721918 -> 1583721918
temp1583721918 -> 2894490784
humid2894490784 -> 2415198559
location2415198559 -> 3877630825
location2415198559 -> 2415198559
humid2894490784 -> 2894490784
location2894490784 -> 4263608413
location2894490784 -> 2894490784
temp1583721918 -> 1583721918
humid1583721918 -> 1694875676
location1694875676 -> 1151302442
location1694875676 -> 1694875676
humid1583721918 -> 1583721918
location1583721918 -> 2840741988
location1583721918 -> 1583721918
soil55386784 -> 55386784
fert55386784 -> 463831135
wat463831135 -> 1341013574
light1341013574 -> 123026914
temp123026914 -> 1372816507
humid1372816507 -> 1483970265
location1483970265 -> 2740990335
location1483970265 -> 1483970265
humid1372816507 -> 1372816507
location1372816507 -> 2629836577
location1372816507 -> 1372816507
temp123026914 -> 123026914
humid123026914 -> 939523461
location939523461 -> 944627170
location939523461 -> 939523461
humid123026914 -> 123026914
location123026914 -> 541897936
light1341013574 -> 1341013574
temp1341013574 -> 2651782440
humid2651782440 -> 2225372088
location2225372088 -> 1681798854
location2225372088 -> 2225372088
humid2651782440 -> 2651782440
location2651782440 -> 2019200184
location2651782440 -> 2651782440
temp1341013574 -> 1341013574
humid1341013574 -> 1452167332
location1452167332 -> 2709187402
location1452167332 -> 1452167332
humid1341013574 -> 1341013574
location1341013574 -> 2598033644
location1341013574 -> 1341013574
fert55386784 -> 55386784
wat55386784 -> 338151036
light338151036 -> 1010268363
temp1010268363 -> 3251580815
humid3251580815 -> 4213246831
location4213246831 -> 3037237284
location4213246831 -> 4213246831
humid3251580815 -> 3251580815
location3251580815 -> 2324100535
location3251580815 -> 3251580815
temp1010268363 -> 1010268363
humid1010268363 -> 1121422121
location1121422121 -> 129317277
location1121422121 -> 1121422121
humid1010268363 -> 1010268363
location1010268363 -> 1015372072
location1010268363 -> 1010268363
light338151036 -> 338151036
temp338151036 -> 1587940629
humid1587940629 -> 1699094387
location1699094387 -> 1155521153
location1699094387 -> 1699094387
humid1587940629 -> 1587940629
location1587940629 -> 2844960699
location1587940629 -> 1587940629
temp338151036 -> 338151036
humid338151036 -> 1065903678
location1065903678 -> 1071007387
location1065903678 -> 1065903678
humid338151036 -> 338151036
location338151036 -> 294885283
location338151036 -> 338151036
wat55386784 -> 55386784
light55386784 -> 2420065038
temp2420065038 -> 2053888840
humid2053888840 -> 2053888840
location2053888840 -> 1510315606
location2053888840 -> 2053888840
temp2420065038 -> 2420065038
humid2420065038 -> 2668601684
location2668601684 -> 2036019428
location2668601684 -> 2668601684
humid2420065038 -> 2420065038
location2420065038 -> 3882497304
location2420065038 -> 2420065038
light55386784 -> 55386784
temp55386784 -> 1305176377
humid1305176377 -> 1416330135
location1416330135 -> 2673350205
location1416330135 -> 1416330135
humid1305176377 -> 1305176377
location1305176377 -> 3155550607
location1305176377 -> 1305176377
temp55386784 -> 55386784
humid55386784 -> 871883331
location871883331 -> 876987040
location871883331 -> 871883331
humid55386784 -> 55386784
location55386784 -> 61681953
location55386784 -> 55386784
NEW SEED: 
1828225758 SEED IS
soil1828225758 -> 2861849399
fert2861849399 -> 3142714247
wat3142714247 -> 2930192875
light2930192875 -> 854796121
temp854796121 -> 929114646
humid929114646 -> 584320134
location584320134 -> 702778904
location584320134 -> 584320134
humid929114646 -> 929114646
location929114646 -> 934218355
location929114646 -> 929114646
temp854796121 -> 854796121
humid854796121 -> 510001609
location510001609 -> 466735856
location510001609 -> 510001609
humid854796121 -> 854796121
location854796121 -> 859899830
location854796121 -> 854796121
light2930192875 -> 2930192875
temp2930192875 -> 1953514685
humid1953514685 -> 749272536
location749272536 -> 185291180
location749272536 -> 749272536
humid1953514685 -> 1953514685
location1953514685 -> 1409941451
location1953514685 -> 1953514685
temp2930192875 -> 2930192875
humid2930192875 -> 2450900650
location2450900650 -> 3638145851
location2450900650 -> 2450900650
humid2930192875 -> 2930192875
location2930192875 -> 3398491764
location2930192875 -> 2930192875
wat3142714247 -> 3142714247
light3142714247 -> 626609791
temp626609791 -> 296358099
humid296358099 -> 1903245587
location1903245587 -> 1359672353
location1903245587 -> 1903245587
humid296358099 -> 296358099
location296358099 -> 253092346
location296358099 -> 296358099
temp626609791 -> 626609791
humid626609791 -> 405244820
location405244820 -> 361979067
location405244820 -> 405244820
humid626609791 -> 626609791
location626609791 -> 745068561
location626609791 -> 626609791
light3142714247 -> 3142714247
temp3142714247 -> 2328517019
humid2328517019 -> 3151949549
location3151949549 -> 3324491634
location3151949549 -> 3151949549
humid2328517019 -> 2328517019
location2328517019 -> 1784943785
location2328517019 -> 2328517019
temp3142714247 -> 3142714247
humid3142714247 -> 4104380263
location4104380263 -> 2928370716
location4104380263 -> 4104380263
humid3142714247 -> 3142714247
location3142714247 -> 3315256332
location3142714247 -> 3142714247
fert2861849399 -> 2861849399
wat2861849399 -> 3951837892
light3951837892 -> 3951837892
temp3951837892 -> 3964703459
humid3964703459 -> 2839527400
location2839527400 -> 2206945144
location2839527400 -> 2839527400
humid3964703459 -> 3964703459
location3964703459 -> 3541637179
location3964703459 -> 3964703459
temp3951837892 -> 3951837892
humid3951837892 -> 2826661833
location2826661833 -> 2194079577
location2826661833 -> 2826661833
humid3951837892 -> 3951837892
location3951837892 -> 3528771612
location3951837892 -> 3951837892
wat2861849399 -> 2861849399
light2861849399 -> 786452645
temp786452645 -> 456200953
humid456200953 -> 234835982
location234835982 -> 653707004
humid456200953 -> 456200953
location456200953 -> 412935200
location456200953 -> 456200953
temp786452645 -> 786452645
humid786452645 -> 441658133
location441658133 -> 398392380
location441658133 -> 441658133
humid786452645 -> 786452645
location786452645 -> 222471289
location786452645 -> 786452645
light2861849399 -> 2861849399
temp2861849399 -> 1885171209
humid1885171209 -> 680929060
location680929060 -> 1115347717
location680929060 -> 680929060
humid1885171209 -> 1885171209
location1885171209 -> 1341597975
location1885171209 -> 1885171209
temp2861849399 -> 2861849399
humid2861849399 -> 2382557174
location2382557174 -> 3844989440
location2382557174 -> 2382557174
humid2861849399 -> 2861849399
location2861849399 -> 2229267143
location2861849399 -> 2861849399
soil1828225758 -> 1444211514
fert1444211514 -> 1389543360
wat1389543360 -> 49171531
light49171531 -> 2413849785
temp2413849785 -> 2047673587
humid2047673587 -> 2047673587
location2047673587 -> 1504100353
location2047673587 -> 2047673587
temp2413849785 -> 2413849785
humid2413849785 -> 2662386431
location2662386431 -> 2029804175
location2662386431 -> 2662386431
humid2413849785 -> 2413849785
location2413849785 -> 3876282051
location2413849785 -> 2413849785
light49171531 -> 49171531
temp49171531 -> 1298961124
humid1298961124 -> 1410114882
location1410114882 -> 2667134952
location1410114882 -> 1410114882
humid1298961124 -> 1298961124
location1298961124 -> 3149335354
location1298961124 -> 1298961124
temp49171531 -> 49171531
humid49171531 -> 865668078
location865668078 -> 870771787
location865668078 -> 865668078
humid49171531 -> 49171531
location49171531 -> 55466700
location49171531 -> 49171531
wat1389543360 -> 1389543360
light1389543360 -> 171556700
temp171556700 -> 1421346293
humid1421346293 -> 1532500051
location1532500051 -> 2789520121
location1532500051 -> 1532500051
humid1421346293 -> 1421346293
location1421346293 -> 2678366363
location1421346293 -> 1421346293
temp171556700 -> 171556700
humid171556700 -> 988053247
location988053247 -> 993156956
location988053247 -> 988053247
humid171556700 -> 171556700
location171556700 -> 590427722
light1389543360 -> 1389543360
temp1389543360 -> 2700312226
humid2700312226 -> 3215739132
location3215739132 -> 3388281217
location3215739132 -> 3215739132
humid2700312226 -> 2700312226
location2700312226 -> 2067729970
location2700312226 -> 2700312226
temp1389543360 -> 1389543360
humid1389543360 -> 1500697118
location1500697118 -> 2757717188
location1500697118 -> 1500697118
humid1389543360 -> 1389543360
location1389543360 -> 2646563430
location1389543360 -> 1389543360
fert1444211514 -> 1444211514
wat1444211514 -> 103839685
light103839685 -> 2468517939
temp2468517939 -> 2102341741
humid2102341741 -> 2102341741
location2102341741 -> 1558768507
location2102341741 -> 2102341741
temp2468517939 -> 2468517939
humid2468517939 -> 2717054585
location2717054585 -> 2084472329
location2717054585 -> 2717054585
humid2468517939 -> 2468517939
location2468517939 -> 3655763140
location2468517939 -> 2468517939
light103839685 -> 103839685
temp103839685 -> 1353629278
humid1353629278 -> 1464783036
location1464783036 -> 2721803106
location1464783036 -> 1464783036
humid1353629278 -> 1353629278
location1353629278 -> 2610649348
location1353629278 -> 1353629278
temp103839685 -> 103839685
humid103839685 -> 920336232
location920336232 -> 925439941
location920336232 -> 920336232
humid103839685 -> 103839685
location103839685 -> 110134854
location103839685 -> 103839685
wat1444211514 -> 1444211514
light1444211514 -> 226224854
temp226224854 -> 1476014447
humid1476014447 -> 1587168205
location1587168205 -> 2844188275
location1587168205 -> 1587168205
humid1476014447 -> 1476014447
location1476014447 -> 2733034517
location1476014447 -> 1476014447
temp226224854 -> 226224854
humid226224854 -> 1833112342
location1833112342 -> 1289539108
location1833112342 -> 1833112342
humid226224854 -> 226224854
location226224854 -> 645095876
light1444211514 -> 1444211514
temp1444211514 -> 2754980380
humid2754980380 -> 3270407286
location3270407286 -> 2342927006
location3270407286 -> 3270407286
humid2754980380 -> 2754980380
location2754980380 -> 2122398124
location2754980380 -> 2754980380
temp1444211514 -> 1444211514
humid1444211514 -> 1555365272
location1555365272 -> 2812385342
location1555365272 -> 1555365272
humid1444211514 -> 1444211514
location1444211514 -> 2701231584
location1444211514 -> 1444211514
soil1828225758 -> 2801804137
fert2801804137 -> 2993000168
wat2993000168 -> 4082988661
light4082988661 -> 4082988661
temp4082988661 -> 4082988661
humid4082988661 -> 3519103244
location3519103244 -> 1897593826
location3519103244 -> 3519103244
humid4082988661 -> 4082988661
location4082988661 -> 2906979114
location4082988661 -> 4082988661
wat2993000168 -> 2993000168
light2993000168 -> 917603414
temp917603414 -> 3158915866
humid3158915866 -> 4120581882
location4120581882 -> 2944572335
location4120581882 -> 4120581882
humid3158915866 -> 3158915866
location3158915866 -> 3331457951
location3158915866 -> 3158915866
temp917603414 -> 917603414
humid917603414 -> 572808902
location572808902 -> 529543149
location572808902 -> 572808902
humid917603414 -> 917603414
location917603414 -> 922707123
location917603414 -> 917603414
light2993000168 -> 2993000168
temp2993000168 -> 2178802940
humid2178802940 -> 3002235470
location3002235470 -> 4174892712
location3002235470 -> 3002235470
humid2178802940 -> 2178802940
location2178802940 -> 1635229706
location2178802940 -> 2178802940
temp2993000168 -> 2993000168
humid2993000168 -> 2513707943
location2513707943 -> 3700953144
location2513707943 -> 2513707943
humid2993000168 -> 2993000168
location2993000168 -> 4165657410
location2993000168 -> 2993000168
fert2801804137 -> 2801804137
wat2801804137 -> 3891792630
light3891792630 -> 546415775
temp546415775 -> 216164083
humid216164083 -> 1032660630
location1032660630 -> 1037764339
location1032660630 -> 1032660630
humid216164083 -> 216164083
location216164083 -> 635035105
temp546415775 -> 546415775
humid546415775 -> 325050804
location325050804 -> 281785051
location325050804 -> 325050804
humid546415775 -> 546415775
location546415775 -> 503150022
location546415775 -> 546415775
light3891792630 -> 3891792630
